subjects	temperature	ratings_intensity	ratings_unpleasantness	regulation
12	48	20.56451613	34.07258065	1
12	44	7.661290323	46.77419355	1
12	45	14.11290323	45.96774194	1
12	47	28.22580645	34.27419355	1
12	46	9.677419355	41.73387097	1
12	45	3.225806452	47.78225806	-1
12	46	3.225806452	48.58870968	-1
12	44	5.241935484	47.98387097	-1
12	47	6.451612903	42.33870968	-1
12	48	8.064516129	43.34677419	-1
12	49	21.77419355	34.67741935	-1
12	48	12.09677419	40.72580645	-1
12	47	8.870967742	39.71774194	-1
12	45	6.048387097	46.57258065	-1
12	46	7.258064516	39.31451613	-1
12	49	25	35.48387097	-1
12	44	9.274193548	43.9516129	-1
12	45	7.661290323	45.96774194	1
12	44	9.677419355	45.16129032	1
12	49	33.46774194	35.48387097	1
